Year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,3211.93,15799.37,10212.93,754.99,10628.08,1780.01,977.47,1563.25,1958.69,2336.85,9351.6,513.3,1550.25,15393.97,23249.11,5178.16,994.17,1785.97,1570.6,2983.81,2057.5,3875.56,2043.12,1257.75,5185.35,4254.51,11158.83,13568.79,3234.12,10835.01,4364.31,766.93,6368.11,536.42,9945.21,3122.21,11134.62,3861.65,13277.79,4536.67,3415.74,2815.83,856.01,1175.74,5481.61,2376.9,6004.62,2242.82,1479.29,1387.89,1168.07,6697.14,4052.06,12724.49,9298.08,7582.86,5523.09,3028.68,5473.63,1739.0,1256.05,2969.98,1021.43,18467.47,1398.92,1609.18,6676.69,776.6,857.51,659.2,2018.13,4113.98,899.36,2690.4,4204.31,2008.35,2001.77,4851.7,13113.13,12448.91,761.84,14358.21,1308.88,2888.15,2903.34,2024.01,4576.54,2345.65,1517.15,1039.69,2868.13,2764.53,745.05,13470.28,6555.89,2598.18,1442.26,1238.23,1205.71,10928.02,1871.89,5130.87,2606.64,1161.47,867.97,7470.18,19079.52,7649.26,6773.04,1838.13,2448.02
1961,3262.95,15902.04,10715.42,636.79,11145.61,1762.47,917.67,1521.76,1977.91,2584.34,9709.27,544.95,1647.52,15714.86,24572.08,4882.83,852.92,1813.39,1591.07,2467.33,1877.92,3992.61,2149.25,1463.04,4906.38,4748.79,11515.06,14338.3,3069.66,9263.02,4446.18,782.73,7055.69,546.89,10861.01,3090.67,11547.52,4130.44,13502.72,4289.86,3586.24,2554.5,889.3,1169.43,6185.3,2422.17,6103.35,2260.73,1408.73,1499.34,1181.89,7039.01,4232.08,13089.69,10007.01,8164.42,5730.76,3432.56,6018.17,1672.12,1303.51,2863.18,1017.61,18254.89,1748.66,1648.17,6648.7,759.33,857.0,656.66,1978.54,4470.92,899.36,2858.16,4100.18,2100.13,2039.71,5047.62,13240.12,13045.53,749.23,14852.99,1329.91,3114.88,3022.78,2060.02,4831.08,2433.19,1655.27,989.35,2800.47,3142.46,766.54,14261.63,6407.39,2662.65,1485.36,1314.04,1243.5,12403.6,1898.76,5082.4,2748.35,1159.66,859.95,7475.18,19246.52,7612.77,6882.58,1842.41,2509.46
1962,3271.12,16466.98,10950.8,678.65,11681.08,1676.57,977.36,1580.9,2005.95,2700.08,10035.76,577.5,1613.86,16413.34,25068.27,5957.89,911.37,1839.79,1575.53,2954.01,2366.44,4050.59,2525.58,1205.38,5046.15,5603.04,11832.69,14907.13,3272.06,5283.86,4491.63,804.4,7679.26,557.56,11008.04,3041.58,12086.59,4574.97,13551.65,4214.49,3629.72,2503.2,867.02,1191.68,6046.6,2425.0,6458.04,2294.94,1461.86,1437.86,1204.77,7185.55,4493.59,13375.87,10388.28,8569.29,5760.78,3338.2,6534.11,1748.52,1274.54,2983.4,1152.48,17689.72,1951.73,1689.99,6688.9,742.29,1219.56,698.87,2219.33,4734.04,895.27,2977.11,4555.44,2273.3,2087.75,5532.1,13629.31,13182.25,757.83,14933.23,1380.23,3288.94,3197.57,2151.58,5178.28,2377.4,1803.18,1087.56,2747.65,3564.54,834.47,14746.92,6720.51,3368.5,1673.88,1320.0,1274.0,12162.55,1885.96,5268.03,2853.01,1235.45,855.53,7465.92,20092.72,7885.26,7013.72,1746.63,2415.86
1963,3109.24,17306.36,11330.01,689.29,12054.99,1731.41,943.16,1646.49,2089.38,2803.25,9852.28,594.66,1489.37,16961.06,25664.08,6038.2,992.07,2005.44,1649.36,2761.45,2560.72,4043.36,2680.32,973.05,5172.91,5615.77,11997.43,15032.26,3069.14,5965.95,4451.65,849.26,8340.46,560.79,11042.0,3365.26,12666.51,5453.89,13989.65,4474.99,3698.0,2562.7,928.66,1348.41,6801.45,2502.06,7040.48,2266.01,1422.66,1284.53,1258.72,7465.89,4475.36,14696.49,11103.58,8901.15,6091.41,3407.06,7003.4,1734.64,1379.26,2810.7,1264.46,17681.9,2227.97,1655.27,7078.62,713.9,214.55,697.32,2057.61,4751.02,888.07,3092.91,4732.74,2418.66,2142.7,5848.85,13537.52,13531.33,752.66,15467.82,1435.72,3452.0,3281.83,2213.83,5441.7,2440.99,1936.93,950.98,2707.37,3960.35,835.51,15432.92,7233.8,2838.75,1483.23,1375.52,1320.25,12956.71,2032.91,5642.66,3034.3,1288.07,849.66,7232.2,20687.4,8175.08,7403.91,1783.75,2397.57
1964,3214.97,17813.99,11792.52,686.05,12765.86,1785.88,974.64,1604.17,2168.14,2844.59,9764.13,623.27,1526.49,17812.47,26737.0,6100.69,1085.66,2235.77,1682.53,2452.73,2662.77,4250.18,2962.41,1017.04,5278.29,4778.31,12782.99,16132.7,3070.54,6087.38,4669.42,936.61,8685.45,583.91,11329.45,3773.29,13353.87,6013.19,14730.6,4658.62,3384.57,2771.77,985.56,1355.33,7266.04,2516.07,7490.21,2326.43,1387.2,1207.82,1320.74,7654.14,4712.07,16238.45,11661.45,9080.25,6278.69,3741.7,7711.31,1835.79,1461.61,2912.4,1331.33,18909.07,2312.64,1648.63,7782.87,564.53,945.34,710.68,2767.87,5281.21,864.38,3280.83,5218.29,2341.76,2081.68,6383.22,14872.66,14254.88,818.42,15829.95,1504.57,3524.02,3400.36,2193.73,5632.29,2459.84,2045.09,831.53,2694.1,3972.35,866.31,16430.75,7606.38,3445.21,1469.53,1547.64,1387.74,13678.79,2046.02,5693.9,3318.73,1446.37,894.7,7426.67,21628.65,8764.63,7712.55,1978.84,2263.46
1965,3558.59,17704.11,12086.68,693.06,13103.9,1889.05,962.9,1553.02,2254.91,2937.49,10169.5,588.37,1502.0,18586.87,27104.67,5764.07,1168.04,2044.72,1748.85,2736.69,2577.47,4134.6,3023.99,1035.88,5652.58,6091.98,13321.44,16703.31,2784.45,6427.35,4684.81,945.22,9079.13,613.45,11993.56,3134.86,13855.95,6641.61,15018.67,4470.43,3446.15,2995.77,1035.27,1458.73,8015.47,2551.45,8302.59,2423.14,1372.01,1406.22,1271.17,7732.92,5176.02,17447.12,11298.2,9266.72,6344.89,4015.69,8102.64,1873.94,1499.82,2821.5,1330.46,18992.67,2220.67,1596.86,7951.69,601.82,2114.26,703.03,3174.21,4850.34,976.61,3416.88,5287.99,2383.35,2284.25,6964.36,15301.05,14929.27,791.23,16518.58,1605.9,3733.23,3522.48,2226.52,6021.0,2546.88,2234.94,861.22,2651.51,4186.45,890.78,16803.1,6856.07,3331.96,1505.89,1723.81,1501.5,13286.24,2083.91,5695.85,3663.03,1419.3,877.72,7337.61,22745.73,8758.56,7941.85,2321.02,2415.84
1966,3583.64,18576.5,12608.72,701.0,13376.34,1894.16,963.24,1536.99,2377.85,2993.16,10697.43,629.33,1447.21,19461.91,27506.02,6318.59,1168.17,2188.61,1796.79,2848.19,2329.52,4236.19,3275.61,1254.49,5786.36,6331.12,13593.18,17004.73,2778.41,5564.53,4687.97,947.72,9655.6,622.24,12316.56,3146.15,14475.22,6080.48,15258.81,4303.35,3447.9,2951.44,944.67,1587.58,8580.3,2641.67,8605.65,2424.99,1350.05,1152.19,1241.68,7836.78,5320.51,18353.05,12167.41,9722.44,6316.19,4017.64,8851.91,1996.42,1661.81,2985.57,1383.49,19168.24,2091.66,1640.12,8184.54,588.8,2421.74,694.61,3115.92,4854.98,1096.77,3543.68,5431.23,2303.75,2230.9,6849.48,15368.93,15334.51,836.28,17280.47,1726.13,3905.33,3682.99,2250.81,6183.92,2488.52,2340.71,907.07,2722.75,4642.98,915.42,16935.94,6515.14,2894.35,1413.69,1847.86,1703.0,13814.52,2117.6,6418.13,3841.66,1481.22,899.98,7547.31,23932.8,8513.01,8081.26,2355.35,2287.86
1967,3653.06,19066.34,12899.66,770.42,13816.65,1921.24,1048.9,1453.71,2510.44,3158.61,11741.52,721.65,1397.15,19671.78,28115.78,6552.34,1171.29,2196.11,1609.66,2533.35,2309.88,4272.46,3536.09,1360.22,5870.21,6994.23,13405.28,17770.53,2783.03,6055.45,4902.53,957.14,10012.23,619.17,12618.39,3517.83,15079.87,6570.14,15526.92,3910.02,3280.41,2837.9,1066.98,1746.82,8910.03,2687.07,8663.27,2436.57,1294.46,1210.19,1307.11,8260.91,6197.41,17458.1,11997.75,10357.85,6237.8,3982.06,9667.97,2008.96,1712.59,2945.17,1458.38,19881.86,2103.91,1681.03,8366.52,596.88,2645.59,758.26,3425.83,5141.41,1096.15,3551.65,5283.59,2294.88,1873.94,7117.5,16021.93,16158.05,799.19,16251.16,1712.78,4151.36,3759.68,2233.21,6658.66,2615.67,2583.76,939.71,2630.27,5203.22,945.57,17452.13,6864.45,3155.89,1339.33,1887.18,1697.06,14528.93,2075.82,6451.16,4243.84,1517.62,857.3,7244.74,24255.71,8517.95,8448.66,2705.0,2240.2
1968,3707.15,20122.68,13388.82,761.23,14354.84,2021.43,1065.22,1469.77,2168.09,3392.48,12114.93,786.71,1560.16,20403.55,28823.64,6588.7,1106.65,2380.41,1642.66,2651.95,2537.62,4422.08,3281.61,1464.34,6056.07,7183.47,14106.71,18674.51,2646.45,6584.99,4991.66,1030.06,10581.9,635.15,13243.68,3855.62,15609.67,6629.94,16086.74,3831.81,3230.13,2933.51,1094.04,1826.66,9474.47,2833.25,8942.52,2521.03,1302.84,1236.79,1334.62,8859.89,6449.96,15876.97,12306.79,10963.99,6198.15,3625.42,10765.29,1936.55,1869.65,3129.95,1430.54,20885.21,2190.16,1779.96,8798.25,632.77,2999.87,776.51,3906.31,4107.51,1089.45,3625.67,5322.61,2284.08,1824.58,7006.92,16874.31,16619.06,788.3,16054.55,1754.7,4324.68,3646.22,2308.57,7553.14,2626.72,2704.41,981.42,2609.39,5654.13,956.7,17964.95,7913.5,3191.39,1306.14,1892.45,1766.32,15421.49,2200.52,6761.13,4599.34,1574.14,878.01,7289.05,25147.79,9180.13,8501.06,2807.55,2005.17
1969,4011.5,21175.37,14010.39,721.89,15203.51,2049.91,1076.67,1502.01,2192.19,3358.2,13965.38,738.14,1535.01,21165.03,30071.39,6914.16,1181.06,2486.51,1719.1,2870.29,2724.37,4598.51,3127.5,1556.26,6218.59,8117.17,15100.14,19775.56,2780.46,7002.08,4985.01,1089.64,11453.88,663.41,14580.73,3913.17,16579.02,7010.51,16329.38,4027.14,3143.58,2792.07,1183.76,1888.52,10512.24,2939.0,9774.29,2442.34,1326.47,1249.59,1442.87,9250.65,6809.0,16534.83,13779.05,11560.78,6384.53,3531.53,11935.01,2000.67,2080.54,3271.41,1401.3,23684.15,2382.42,1806.7,8885.19,635.2,3166.24,803.36,3608.57,4085.17,1137.78,3665.07,5552.93,2062.36,2197.44,7140.58,18204.07,17136.21,815.35,17540.98,1844.45,4585.89,3715.83,2365.61,7796.17,2694.53,2851.68,1051.19,2287.19,6453.54,958.67,18685.74,7169.79,3683.16,1307.5,2076.0,1896.15,16716.19,2243.93,6927.58,4869.81,1598.01,932.87,7707.1,25697.34,9391.74,8869.98,2600.57,2443.53
