country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
Afghanistan,AFG,15.0,0.15012156470543525,0.05134091068788815,0.058125738010610606,low,no
Albania,ALB,29.0,0.11925811089744776,0.04582126008642695,0.044900995033717805,middle,no
Algeria,DZA,59.0,0.15742324487626824,0.09989938569218126,0.03553864805153362,middle,no
Angola,AGO,28.0,0.7137414964374511,0.6666181708540835,0.04902610805287799,middle,no
Antigua and Barbuda,ATG,46.0,0.085994022561529,0.03678115327178966,0.03380393925684322,high,no
Argentina,ARG,63.0,0.7439324421946472,0.6944657461630142,0.02246696534221604,middle,no
Armenia,ARM,31.0,0.38578815944519174,0.3347759348319239,0.05320403538553253,middle,no
Aruba,ABW,35.0,0.08328422386634116,0.024765566613303758,0.030758090326987286,high,no
Australia,AUS,63.0,0.10245765143962648,0.0477594897248248,0.033481432756995666,high,yes
Azerbaijan,AZE,31.0,0.3976677516693321,0.3470861551869979,0.04404869292671809,middle,no
"Bahamas, The",BHS,49.0,0.07664402158978323,0.048266670857088245,0.018115962907418792,high,no
Bahrain,BHR,36.0,0.08589252632766797,0.026600972610219653,0.04056714442182763,high,no
Bangladesh,BGD,49.0,0.1656972581075613,0.0796002409240637,0.04932960854853863,middle,no
Barbados,BRB,36.0,0.10871166451716663,0.06199752521136692,0.015264521560864441,high,no
Belarus,BLR,28.0,0.5179353333137187,0.4741248884554359,0.03885662507497156,middle,no
Belize,BLZ,47.0,0.09204391125003508,0.02695722006142165,0.04533979660555176,middle,no
Benin,BEN,61.0,0.11312098245941349,0.04971762185381956,0.039455678040019926,middle,no
Bhutan,BTN,39.0,0.18059464178894724,0.06518627613638239,0.06453683635135854,middle,no
Bolivia,BOL,62.0,0.39494386223808875,0.2975908421370772,0.03429705216316514,middle,no
Bosnia and Herzegovina,BIH,26.0,0.1320923278578019,0.039719230465738775,0.04060540201794316,middle,no
Botswana,BWA,47.0,0.16596343672143266,0.0896398458344907,0.06063588890941607,middle,no
Brazil,BRA,63.0,0.8537549338373072,0.7409659944122369,0.03798548297388438,middle,no
Brunei Darussalam,BRN,24.0,0.0438541303235378,0.04071661133129956,0.0071546501319246225,high,no
Bulgaria,BGR,31.0,0.2681079677935596,0.2383249401574301,0.017453326513394707,middle,no
Burkina Faso,BFA,61.0,0.12267398320349177,0.03883775865797667,0.04350943321883993,low,no
Burundi,BDI,59.0,0.14968545768963248,0.08872329239972876,0.02447476896180234,low,no
Cabo Verde,CPV,43.0,0.11423416490287863,0.03177893665731846,0.059849630808518794,middle,no
Cambodia,KHM,30.0,0.2403100225970738,0.05051772354774364,0.0517485542276519,middle,no
Cameroon,CMR,59.0,0.1044190917453165,0.05267540533537596,0.035368730350713085,middle,no
Canada,CAN,28.0,0.08044957516233087,0.030547028078448335,0.025934652665995817,high,yes
Central African Republic,CAF,59.0,0.08533140660019467,0.054243457490205316,0.012507157777670086,low,no
Chad,TCD,62.0,0.09671102711386093,0.04432045774951199,0.029894043409174342,low,no
Chile,CHL,62.0,0.37958279491400493,0.28848257984937065,0.03844620384045183,high,yes
China,CHN,46.0,0.1951442827244989,0.045687815655662156,0.09076391138793372,middle,no
Colombia,COL,33.0,0.16260733541058947,0.0992081039427033,0.03441165975551508,middle,no
Comoros,COM,40.0,0.09175631605313161,0.032700623312627686,0.024209781948578035,middle,no
"Congo, Dem. Rep.",COD,33.0,1.2476974331346717,1.2770450543412597,-0.0023939879049529322,low,no
"Congo, Rep.",COG,62.0,0.0971941912282015,0.058745262622938776,0.0325451308230007,middle,no
Costa Rica,CRI,63.0,0.18532650093115755,0.11907666159581898,0.044028962170980845,middle,no
Cote d'Ivoire,CIV,61.0,0.11024728322180355,0.0548806531035535,0.04108174818482868,middle,no
Croatia,HRV,27.0,0.11002704335473013,0.028800566672182226,0.022197552680855548,high,no
Czechia,CZE,29.0,0.0773157640198634,0.03426780246542682,0.02499193300527014,high,yes
Denmark,DNK,56.0,0.06996645968194581,0.04234886899535906,0.020808815506663247,high,yes
Djibouti,DJI,10.0,0.08782936786491802,0.01016124907272431,0.05147564724480014,middle,no
Dominica,DMA,46.0,0.07924806718475397,0.037628191308444636,0.02085327186693675,middle,no
Dominican Republic,DOM,63.0,0.17090622126168342,0.10275582090397783,0.0508398736436968,middle,no
Ecuador,ECU,63.0,0.10148640503668505,0.0335761104144916,0.03534145037592551,middle,no
"Egypt, Arab Rep.",EGY,63.0,0.16809519762212743,0.09238257966170149,0.05139322183182515,middle,no
El Salvador,SLV,58.0,0.08515660707687878,0.043820786800166545,0.02067960729849827,middle,no
Equatorial Guinea,GNQ,37.0,0.13215658801618768,0.04183205654139943,0.11817191045627706,middle,no
Eritrea,ERI,17.0,0.1807847028929368,0.12105865289397277,0.02028772798220846,low,no
Eswatini,SWZ,49.0,0.14014136953185607,0.08610342656551584,0.04531353360765067,middle,no
Ethiopia,ETH,28.0,0.14056766330770976,0.06556192515084658,0.041153773328587606,low,no
Fiji,FJI,60.0,0.10264619626904747,0.05346274990560884,0.0270804363880639,middle,no
Gabon,GAB,60.0,0.10779154869116092,0.06008939507313582,0.03816352593202388,middle,no
"Gambia, The",GMB,49.0,0.16248956576872975,0.10571104289975097,0.03504499544889583,low,no
Georgia,GEO,28.0,0.21689060589186626,0.07500568984477596,0.05445494878156043,middle,no
Ghana,GHA,63.0,0.29949851239248404,0.2449663678838323,0.03592143512822088,middle,no
Grenada,GRD,46.0,0.08242610417251228,0.035380996119814156,0.029350698233427064,middle,no
Guatemala,GTM,63.0,0.13923761112034305,0.07070093757103102,0.038182927941988964,middle,no
Guinea,GIN,22.0,0.21893366563784,0.12474543202106281,0.04544675675402221,middle,no
Guinea-Bissau,GNB,37.0,0.256467858841245,0.19217101579221385,0.02500431528623337,low,no
Guyana,GUY,62.0,0.16609994490580093,0.1203341774091724,0.028688504289216432,high,no
Haiti,HTI,62.0,0.14497609213126528,0.10945551422586908,0.012982622088765439,middle,no
Honduras,HND,63.0,0.14940770662281477,0.07890614484808367,0.038542821861015764,middle,no
"Hong Kong SAR, China",HKG,32.0,0.07936879889846238,0.016238851489607464,0.029651461616344577,high,no
Hungary,HUN,31.0,0.12431431718328056,0.08355424333168693,0.02190607512884113,high,yes
Iceland,ISL,28.0,0.10510928322463853,0.047509824493846775,0.03189064769787442,high,yes
India,IND,62.0,0.14976027296796102,0.07102408984238484,0.050551001014972785,middle,no
Indonesia,IDN,54.0,0.21957867138750387,0.12268845770107739,0.05324277341247763,middle,no
