country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
Afghanistan,AFG,12.0,0.17386912193195414,0.050501361314668314,0.0719806069233706,0.1555803240740741,0.028524220346590967,low,no
Albania,ALB,24.0,0.07832553404382336,0.028379095650562958,0.041147142023732375,0.11505265752268007,-0.008539526531898156,middle,no
Algeria,DZA,28.0,0.13566085910819115,0.07003072969929058,0.02965654316848365,0.09413690476190477,0.04125965271560128,middle,no
Angola,AGO,28.0,0.7137414964374511,0.6666181708540835,0.04902610805287799,0.5117828873049564,0.5612723901969143,middle,no
Antigua and Barbuda,ATG,41.0,0.0802803066051554,0.02811844068844649,0.03201107718383378,0.10844857027427775,0.0,high,no
Argentina,ARG,13.0,0.4111775931487236,0.37577124870326606,0.0065706739810733605,0.30439166666666667,0.3400228274107313,middle,no
Armenia,ARM,28.0,0.19003882925958804,0.04782608609776995,0.058221011245893184,0.2523888789364732,0.0026237676602327564,middle,no
Aruba,ABW,35.0,0.08328422386634116,0.024765566613303758,0.030758090326987286,0.09744761904761909,0.0,high,no
Australia,AUS,60.0,0.1029094690401795,0.04822771541351467,0.03421135851119406,0.0841744861111111,0.008116392952809859,high,yes
Azerbaijan,AZE,25.0,0.21904801894789117,0.08349868367036084,0.07502281492050167,0.17941349310213872,0.03333827375289622,middle,no
"Bahamas, The",BHS,42.0,0.08213787284953167,0.044608820535595894,0.028683703553066486,0.07355654761904759,0.0,high,no
Bahrain,BHR,30.0,0.08736045059545416,0.030395255926917608,0.05132045633472537,0.0892161510903427,0.0,high,no
Bangladesh,BGD,47.0,0.1677411000252096,0.07389323102175971,0.05122410678439304,0.11953826455902726,0.039560390356181196,middle,no
Barbados,BRB,29.0,0.09411422914227052,0.038541984844334465,0.011629359433495301,0.10164367816091956,0.0,high,no
Belarus,BLR,28.0,0.5179353333137187,0.4741248884554359,0.03885662507497156,0.320084361577262,0.3878647598818237,middle,no
Belize,BLZ,41.0,0.09123218697382396,0.026571572365335916,0.04320248259389037,0.13378104830961482,0.0,middle,no
Benin,BEN,17.0,0.11846116843012466,0.019040172516624043,0.04730348398009787,0.057147598039215694,0.0031656573379024167,middle,no
Bhutan,BTN,39.0,0.18059464178894724,0.06518627613638239,0.06453683635135854,0.14934935897435897,0.053786606054098574,middle,no
Bolivia,BOL,35.0,0.1649001902502205,0.06694499497113138,0.0371106578590743,0.25146427568123625,0.03631340371655001,middle,no
Bosnia and Herzegovina,BIH,21.0,0.0985685667574594,0.0313262975446702,0.028668139649760782,0.0676200484247412,-0.005548246984700911,middle,no
Botswana,BWA,43.0,0.15499702934910475,0.08660853981830963,0.054598140310350596,0.11921193604651162,0.0681047235633494,middle,no
Brazil,BRA,26.0,0.14575528195337917,0.07553720288931176,0.021126907659057004,0.4938621794871795,0.06466930489961475,middle,no
Brunei Darussalam,BRN,24.0,0.0438541303235378,0.04071661133129956,0.0071546501319246225,0.055,-0.00893075983417324,high,no
Bulgaria,BGR,30.0,0.26030573092782294,0.227542912293486,0.020714626487930543,0.3497694694444445,0.15825799223300407,middle,no
Burkina Faso,BFA,17.0,0.15179169404039516,0.02291306252603187,0.05486645183737937,0.0573838725490196,0.003156937998030296,low,no
Burundi,BDI,25.0,0.1930884124209673,0.10426355587365133,0.022258823337593103,0.15337633333333328,0.06509961488017457,low,no
Cabo Verde,CPV,17.0,0.062470242581509794,0.026892234932609727,0.031425892478417206,0.0974974453069482,0.011471953878909646,middle,no
Canada,CAN,28.0,0.08044957516233087,0.030547028078448335,0.025934652665995817,0.08470238095238092,-0.004304584282488033,high,yes
Chile,CHL,34.0,0.16039344302320901,0.0818834278548699,0.04968980694487901,0.1579409845397842,0.042797360971564835,high,yes
China,CHN,43.0,0.19141198367596401,0.046814108594545045,0.09088723730318016,0.06740930232418607,0.03643988972359291,middle,no
Colombia,COL,33.0,0.16260733541058947,0.0992081039427033,0.03441165975551508,0.21328679570134892,0.06906202092229208,middle,no
Comoros,COM,23.0,0.11280503049344337,0.021462063641258355,0.02993139479575402,0.10716032608695653,-0.004740438152547655,middle,no
"Congo, Dem. Rep.",COD,13.0,0.3024487110070444,0.1546408614255541,0.060823018029100284,0.3481317433241757,0.10910808974264308,low,no
Costa Rica,CRI,41.0,0.16888560983531153,0.11848458277387297,0.04181968980358164,0.21091265442428725,0.07386864189641629,middle,no
Cote d'Ivoire,CIV,13.0,0.14243877281789752,0.02280512759792641,0.051914207931959,0.05240198717948719,0.008071492743903175,middle,no
Croatia,HRV,20.0,0.12488902979857053,0.03530314484231867,0.020361229020023686,0.12307692500000006,0.004976812430792954,high,no
Czechia,CZE,29.0,0.0773157640198634,0.03426780246542682,0.02499193300527014,0.06960988655388872,-0.010524458247615165,high,yes
Dominica,DMA,41.0,0.069167102464877,0.02941728415844258,0.019246580489744813,0.09976648951716592,0.0,middle,no
Dominican Republic,DOM,32.0,0.15875068952373406,0.07854749511975534,0.05233281401197898,0.20590803141770841,0.048835975827222544,middle,no
"Egypt, Arab Rep.",EGY,47.0,0.18455432409741013,0.1094957843302784,0.050925114838500596,0.13974893617021272,0.08827028975636808,middle,no
Eswatini,SWZ,48.0,0.13329983804256385,0.08705875633652349,0.04340462472148854,0.1285260416666667,0.06810738659310811,middle,no
Ethiopia,ETH,24.0,0.1426553150126033,0.06265730088861154,0.05116570071113058,0.09024284722222226,0.06897880817396795,low,no
